Nombre,Precio,CantidadEnStock
Producto 1,80,7,81
Producto 2,64,85,80
Producto 3,71,59,72
Producto 4,24,21,17
Producto 5,79,31,20
Producto 6,33,42,42
Producto 7,66,07,28
Producto 8,50,11,7
Producto 9,36,61,9
Producto 10,14,93,47
Producto 11,41,71,21
Producto 12,67,6,38
Producto 13,41,07,19
Producto 14,37,06,53
Producto 15,13,4,75
Producto 16,36,33,17
Producto 17,36,96,66
Producto 18,20,24,53
Producto 19,17,45,88
Producto 20,41,03,98
Producto 21,17,57,15
Producto 22,85,11,56
Producto 23,40,84,96
Producto 24,78,49,12
Producto 25,92,67,35
Producto 26,18,51,6
Producto 27,51,77,10
Producto 28,24,13,50
Producto 29,20,35,18
Producto 30,57,63,88
Producto 31,14,06,41
Producto 32,37,05,2
Producto 33,17,2,58
Producto 34,58,37,99
Producto 35,94,76,42
Producto 36,49,89,80
Producto 37,46,25,84
Producto 38,48,06,87
Producto 39,46,3,95
Producto 40,31,25,59
Producto 41,37,81,82
Producto 42,66,32,26
Producto 43,10,1,32
Producto 44,62,22,10
Producto 45,12,77,5
Producto 46,48,31,86
Producto 47,60,72,58
Producto 48,98,37,23
Producto 49,94,84,83
Producto 50,91,8,90
Producto 51,18,16,19
Producto 52,95,99,10
Producto 53,79,78,90
Producto 54,47,63,48
Producto 55,42,75,53
Producto 56,19,95,78
Producto 57,50,05,18
Producto 58,89,86,97
Producto 59,67,34,57
Producto 60,96,2,36
Producto 61,67,44,50
Producto 62,23,18,15
Producto 63,17,23,86
Producto 64,30,12,48
Producto 65,37,65,97
Producto 66,33,79,41
Producto 67,57,05,74
Producto 68,66,66,91
Producto 69,58,37,64
Producto 70,47,69,15
Producto 71,94,61,67
Producto 72,64,37,45
Producto 73,43,7,58
Producto 74,24,02,95
Producto 75,53,53,88
Producto 76,16,45,8
Producto 77,41,24,19
Producto 78,60,44,7
Producto 79,67,94,25
Producto 80,24,01,60
Producto 81,94,79,86
Producto 82,94,64,34
Producto 83,97,38,43
Producto 84,50,01,17
Producto 85,98,78,14
Producto 86,65,72,26
Producto 87,51,38,69
Producto 88,33,74,52
Producto 89,49,97,65
Producto 90,52,09,48
Producto 91,79,04,50
Producto 92,81,43,74
Producto 93,34,31,10
Producto 94,28,23,98
Producto 95,59,66,55
Producto 96,25,61,36
Producto 97,62,05,4
Producto 98,39,87,56
Producto 99,20,58,60
Producto 100,52,51,74
Producto 101,12,55,33
Producto 102,39,87,76
Producto 103,16,53
Producto 104,77,56,26
Producto 105,79,51,19
Producto 106,96,97,51
Producto 107,40,07,62
Producto 108,66,29,45
Producto 109,53,91,19
Producto 110,92,12,97
Producto 111,42,9,22
Producto 112,38,32,49
Producto 113,37,59,13
Producto 114,47,65,39
Producto 115,57,49,30
Producto 116,41,22
Producto 117,41,95,78
Producto 118,90,19,99
Producto 119,25,84,37
Producto 120,74,51
Producto 121,22,51,12
Producto 122,55,71,30
Producto 123,39,87,90
Producto 124,14,34,86
Producto 125,62,54,43
Producto 126,95,7,5
Producto 127,63,22,91
Producto 128,51,5,77
Producto 129,92,64,60
Producto 130,39,32,75
Producto 131,53,05,26
Producto 132,69,69,64
Producto 133,87,19,34
Producto 134,35,48,75
Producto 135,65,2,46
Producto 136,74,04,66
Producto 137,92,1,12
Producto 138,15,63,24
Producto 139,65,67,93
Producto 140,52,88,60
Producto 141,60,04,88
Producto 142,76,99,90
Producto 143,17,82,61
Producto 144,93,53,9
Producto 145,75,15,88
Producto 146,57,16,20
Producto 147,95,5,78
Producto 148,72,75,50
Producto 149,21,81,28
Producto 150,17,64,24
Producto 151,68,02,24
Producto 152,28,49,59
Producto 153,63,41,78
Producto 154,35,67,50
Producto 155,84,14,33
Producto 156,44,15,32
Producto 157,41,28,23
Producto 158,56,59,62
Producto 159,71,63,59
Producto 160,55,27,59
Producto 161,52,11,12
Producto 162,71,32,31
Producto 163,82,63,87
Producto 164,54,69,49
Producto 165,73,59,24
Producto 166,73,06,90
Producto 167,52,12,60
Producto 168,33,54,17
Producto 169,45,45,45
Producto 170,98,99,97
Producto 171,28,03,65
Producto 172,30,26,29
Producto 173,69,66,98
Producto 174,62,43,99
Producto 175,21,33,25
Producto 176,26,7,34
Producto 177,38,05,1
Producto 178,40,31,39
Producto 179,79,59,97
Producto 180,30,32,83
Producto 181,97,62,92
Producto 182,55,51,94
Producto 183,51,95,77
Producto 184,27,15,22
Producto 185,28,9,74
Producto 186,55,88,19
Producto 187,50,95,20
Producto 188,66,44,70
Producto 189,31,81,10
Producto 190,77,96,13
Producto 191,27,66,23
Producto 192,20,39,14
Producto 193,74,69,21
Producto 194,75,69,18
Producto 195,68,67,58
Producto 196,40,82,80
Producto 197,78,01,98
Producto 198,27,44,35
Producto 199,37,02,66
Producto 200,77,75,48
